"subject";"activity";"featDomain";"featAcceleration";"featInstrument";"featJerk";"featMagnitude";"featVariable";"featAxis";"count";"meanValue"
"46";1;"WALKING";"Freq";"NA";"Gyroscope";"NA";"NA";"SD";"Z";347;-0.650476162132565
"47";1;"WALKING";"Freq";"NA";"Gyroscope";"NA";"Magnitude";"Mean";"NA";347;-0.535002770337752
"48";1;"WALKING";"Freq";"NA";"Gyroscope";"NA";"Magnitude";"SD";"NA";347;-0.566576670397695
"49";1;"WALKING";"Freq";"NA";"Gyroscope";"Jerk";"Magnitude";"Mean";"NA";347;-0.645970655298847
"50";1;"WALKING";"Freq";"NA";"Gyroscope";"Jerk";"Magnitude";"SD";"NA";347;-0.685811262634006
"51";1;"WALKING";"Freq";"Body";"Accelerometer";"NA";"NA";"Mean";"X";347;-0.531895161258213
"52";1;"WALKING";"Freq";"Body";"Accelerometer";"NA";"NA";"Mean";"Y";347;-0.406435448904438
"53";1;"WALKING";"Freq";"Body";"Accelerometer";"NA";"NA";"Mean";"Z";347;-0.596411165253602
"54";1;"WALKING";"Freq";"Body";"Accelerometer";"NA";"NA";"SD";"X";347;-0.553060616663401
"55";1;"WALKING";"Freq";"Body";"Accelerometer";"NA";"NA";"SD";"Y";347;-0.390150939647061
"56";1;"WALKING";"Freq";"Body";"Accelerometer";"NA";"NA";"SD";"Z";347;-0.498583091676081
"57";1;"WALKING";"Freq";"Body";"Accelerometer";"NA";"Magnitude";"Mean";"NA";347;-0.478448523354179
"58";1;"WALKING";"Freq";"Body";"Accelerometer";"NA";"Magnitude";"SD";"NA";347;-0.589710231217867
"59";1;"WALKING";"Freq";"Body";"Accelerometer";"Jerk";"NA";"Mean";"X";347;-0.547348892435764
"60";1;"WALKING";"Freq";"Body";"Accelerometer";"Jerk";"NA";"Mean";"Y";347;-0.507343617969859
"61";1;"WALKING";"Freq";"Body";"Accelerometer";"Jerk";"NA";"Mean";"Z";347;-0.695305113832853
"62";1;"WALKING";"Freq";"Body";"Accelerometer";"Jerk";"NA";"SD";"X";347;-0.543979776127867
"63";1;"WALKING";"Freq";"Body";"Accelerometer";"Jerk";"NA";"SD";"Y";347;-0.466251676533372
"64";1;"WALKING";"Freq";"Body";"Accelerometer";"Jerk";"NA";"SD";"Z";347;-0.737861932680115
"65";1;"WALKING";"Freq";"Body";"Accelerometer";"Jerk";"Magnitude";"Mean";"NA";347;-0.499075765624092
"66";1;"WALKING";"Freq";"Body";"Accelerometer";"Jerk";"Magnitude";"SD";"NA";347;-0.541823079570029
"67";2;"STANDING";"Time";"NA";"Gyroscope";"NA";"NA";"Mean";"X";302;-0.0517030657821192
"68";2;"STANDING";"Time";"NA";"Gyroscope";"NA";"NA";"Mean";"Y";302;-0.0568420186817881
"69";2;"STANDING";"Time";"NA";"Gyroscope";"NA";"NA";"Mean";"Z";302;0.0872599422291391
"70";2;"STANDING";"Time";"NA";"Gyroscope";"NA";"NA";"SD";"X";302;-0.710648927815894
"71";2;"STANDING";"Time";"NA";"Gyroscope";"NA";"NA";"SD";"Y";302;-0.722943674337748
"72";2;"STANDING";"Time";"NA";"Gyroscope";"NA";"NA";"SD";"Z";302;-0.634888927843046
"73";2;"STANDING";"Time";"NA";"Gyroscope";"NA";"Magnitude";"Mean";"NA";302;-0.614771054893146
"74";2;"STANDING";"Time";"NA";"Gyroscope";"NA";"Magnitude";"SD";"NA";302;-0.680584887880795
"75";2;"STANDING";"Time";"NA";"Gyroscope";"Jerk";"NA";"Mean";"X";302;-0.0875587491668874
"76";2;"STANDING";"Time";"NA";"Gyroscope";"Jerk";"NA";"Mean";"Y";302;-0.0433986835453642
"77";2;"STANDING";"Time";"NA";"Gyroscope";"Jerk";"NA";"Mean";"Z";302;-0.0557541828188742
"78";2;"STANDING";"Time";"NA";"Gyroscope";"Jerk";"NA";"SD";"X";302;-0.671679103311258
"79";2;"STANDING";"Time";"NA";"Gyroscope";"Jerk";"NA";"SD";"Y";302;-0.783595466728477
"80";2;"STANDING";"Time";"NA";"Gyroscope";"Jerk";"NA";"SD";"Z";302;-0.674611933293046
"81";2;"STANDING";"Time";"NA";"Gyroscope";"Jerk";"Magnitude";"Mean";"NA";302;-0.746559539039735
"82";2;"STANDING";"Time";"NA";"Gyroscope";"Jerk";"Magnitude";"SD";"NA";302;-0.740088733655629
"83";2;"STANDING";"Time";"Body";"Accelerometer";"NA";"NA";"Mean";"X";302;0.273113115788079
"84";2;"STANDING";"Time";"Body";"Accelerometer";"NA";"NA";"Mean";"Y";302;-0.0191323183174834
"85";2;"STANDING";"Time";"Body";"Accelerometer";"NA";"NA";"Mean";"Z";302;-0.115649958175497
"86";2;"STANDING";"Time";"Body";"Accelerometer";"NA";"NA";"SD";"X";302;-0.605586497159271
"87";2;"STANDING";"Time";"Body";"Accelerometer";"NA";"NA";"SD";"Y";302;-0.428962986589404
"88";2;"STANDING";"Time";"Body";"Accelerometer";"NA";"NA";"SD";"Z";302;-0.589360062210596
"89";2;"STANDING";"Time";"Body";"Accelerometer";"NA";"Magnitude";"Mean";"NA";302;-0.535281800541722
"90";2;"STANDING";"Time";"Body";"Accelerometer";"NA";"Magnitude";"SD";"NA";302;-0.552812545643709
"91";2;"STANDING";"Time";"Body";"Accelerometer";"Jerk";"NA";"Mean";"X";302;0.0785353156747351
"92";2;"STANDING";"Time";"Body";"Accelerometer";"Jerk";"NA";"Mean";"Y";302;0.00708771249764901
"93";2;"STANDING";"Time";"Body";"Accelerometer";"Jerk";"NA";"Mean";"Z";302;0.000755760748377483
"94";2;"STANDING";"Time";"Body";"Accelerometer";"Jerk";"NA";"SD";"X";302;-0.557809603123841
"95";2;"STANDING";"Time";"Body";"Accelerometer";"Jerk";"NA";"SD";"Y";302;-0.491875889831788
"96";2;"STANDING";"Time";"Body";"Accelerometer";"Jerk";"NA";"SD";"Z";302;-0.741885388311258
"97";2;"STANDING";"Time";"Body";"Accelerometer";"Jerk";"Magnitude";"Mean";"NA";302;-0.58777744543543
"98";2;"STANDING";"Time";"Body";"Accelerometer";"Jerk";"Magnitude";"SD";"NA";302;-0.512115278415232
"99";2;"STANDING";"Time";"Gravity";"Accelerometer";"NA";"NA";"Mean";"X";302;0.660782866688742
"100";2;"STANDING";"Time";"Gravity";"Accelerometer";"NA";"NA";"Mean";"Y";302;-0.147219886910411
"101";2;"STANDING";"Time";"Gravity";"Accelerometer";"NA";"NA";"Mean";"Z";302;0.134865335090728
"102";2;"STANDING";"Time";"Gravity";"Accelerometer";"NA";"NA";"SD";"X";302;-0.963015508245033
"103";2;"STANDING";"Time";"Gravity";"Accelerometer";"NA";"NA";"SD";"Y";302;-0.960033560165563
"104";2;"STANDING";"Time";"Gravity";"Accelerometer";"NA";"NA";"SD";"Z";302;-0.945365383907285
"105";2;"STANDING";"Time";"Gravity";"Accelerometer";"NA";"Magnitude";"Mean";"NA";302;-0.535281800541722
"106";2;"STANDING";"Time";"Gravity";"Accelerometer";"NA";"Magnitude";"SD";"NA";302;-0.552812545643709
"107";2;"STANDING";"Freq";"NA";"Gyroscope";"NA";"NA";"Mean";"X";302;-0.638717694593046
"108";2;"STANDING";"Freq";"NA";"Gyroscope";"NA";"NA";"Mean";"Y";302;-0.722068978635762
"109";2;"STANDING";"Freq";"NA";"Gyroscope";"NA";"NA";"Mean";"Z";302;-0.601594889654305
"110";2;"STANDING";"Freq";"NA";"Gyroscope";"NA";"NA";"SD";"X";302;-0.734588540182119
"111";2;"STANDING";"Freq";"NA";"Gyroscope";"NA";"NA";"SD";"Y";302;-0.72716774102649
"112";2;"STANDING";"Freq";"NA";"Gyroscope";"NA";"NA";"SD";"Z";302;-0.683114494539735
"113";2;"STANDING";"Freq";"NA";"Gyroscope";"NA";"Magnitude";"Mean";"NA";302;-0.699742945221854
"114";2;"STANDING";"Freq";"NA";"Gyroscope";"NA";"Magnitude";"SD";"NA";302;-0.725310337688742
"115";2;"STANDING";"Freq";"NA";"Gyroscope";"Jerk";"Magnitude";"Mean";"NA";302;-0.751615078360927
"116";2;"STANDING";"Freq";"NA";"Gyroscope";"Jerk";"Magnitude";"SD";"NA";302;-0.744194981440397
"117";2;"STANDING";"Freq";"Body";"Accelerometer";"NA";"NA";"Mean";"X";302;-0.57377091142947
"118";2;"STANDING";"Freq";"Body";"Accelerometer";"NA";"NA";"Mean";"Y";302;-0.432566581302351
"119";2;"STANDING";"Freq";"Body";"Accelerometer";"NA";"NA";"Mean";"Z";302;-0.630081222124834
"120";2;"STANDING";"Freq";"Body";"Accelerometer";"NA";"NA";"SD";"X";302;-0.619788102803311
"121";2;"STANDING";"Freq";"Body";"Accelerometer";"NA";"NA";"SD";"Y";302;-0.464723862913245
"122";2;"STANDING";"Freq";"Body";"Accelerometer";"NA";"NA";"SD";"Z";302;-0.600678614835099
"123";2;"STANDING";"Freq";"Body";"Accelerometer";"NA";"Magnitude";"Mean";"NA";302;-0.514569861316887
"124";2;"STANDING";"Freq";"Body";"Accelerometer";"NA";"Magnitude";"SD";"NA";302;-0.646662308457285
"125";2;"STANDING";"Freq";"Body";"Accelerometer";"Jerk";"NA";"Mean";"X";302;-0.561682049622185
"126";2;"STANDING";"Freq";"Body";"Accelerometer";"Jerk";"NA";"Mean";"Y";302;-0.50890379901457
"127";2;"STANDING";"Freq";"Body";"Accelerometer";"Jerk";"NA";"Mean";"Z";302;-0.715745330403973
"128";2;"STANDING";"Freq";"Body";"Accelerometer";"Jerk";"NA";"SD";"X";302;-0.595105612895033
"129";2;"STANDING";"Freq";"Body";"Accelerometer";"Jerk";"NA";"SD";"Y";302;-0.509147543673841
"130";2;"STANDING";"Freq";"Body";"Accelerometer";"Jerk";"NA";"SD";"Z";302;-0.767087015496689
"131";2;"STANDING";"Freq";"Body";"Accelerometer";"Jerk";"Magnitude";"Mean";"NA";302;-0.509746432970861
"132";2;"STANDING";"Freq";"Body";"Accelerometer";"Jerk";"Magnitude";"SD";"NA";302;-0.518800797709272
"133";3;"WALKING";"Time";"NA";"Gyroscope";"NA";"NA";"Mean";"X";341;-0.0248490682828446
"134";3;"WALKING";"Time";"NA";"Gyroscope";"NA";"NA";"Mean";"Y";341;-0.0743565308442815
"135";3;"WALKING";"Time";"NA";"Gyroscope";"NA";"NA";"Mean";"Z";341;0.0866875497119062
"136";3;"WALKING";"Time";"NA";"Gyroscope";"NA";"NA";"SD";"X";341;-0.699262195705865
"137";3;"WALKING";"Time";"NA";"Gyroscope";"NA";"NA";"SD";"Y";341;-0.76302218170088
"138";3;"WALKING";"Time";"NA";"Gyroscope";"NA";"NA";"SD";"Z";341;-0.709483440322581
"139";3;"WALKING";"Time";"NA";"Gyroscope";"NA";"Magnitude";"Mean";"NA";341;-0.643150121648094
"140";3;"WALKING";"Time";"NA";"Gyroscope";"NA";"Magnitude";"SD";"NA";341;-0.674010290979472
"141";3;"WALKING";"Time";"NA";"Gyroscope";"Jerk";"NA";"Mean";"X";341;-0.0991554609633431
"142";3;"WALKING";"Time";"NA";"Gyroscope";"Jerk";"NA";"Mean";"Y";341;-0.0401923943695015
"143";3;"WALKING";"Time";"NA";"Gyroscope";"Jerk";"NA";"Mean";"Z";341;-0.0521178264170088
"144";3;"WALKING";"Time";"NA";"Gyroscope";"Jerk";"NA";"SD";"X";341;-0.689328428607038
"145";3;"WALKING";"Time";"NA";"Gyroscope";"Jerk";"NA";"SD";"Y";341;-0.842659862111437
"146";3;"WALKING";"Time";"NA";"Gyroscope";"Jerk";"NA";"SD";"Z";341;-0.743028500565982
"147";3;"WALKING";"Time";"NA";"Gyroscope";"Jerk";"Magnitude";"Mean";"NA";341;-0.784056656246334
"148";3;"WALKING";"Time";"NA";"Gyroscope";"Jerk";"Magnitude";"SD";"NA";341;-0.80366136372434
"149";3;"WALKING";"Time";"Body";"Accelerometer";"NA";"NA";"Mean";"X";341;0.273428719636364
"150";3;"WALKING";"Time";"Body";"Accelerometer";"NA";"NA";"Mean";"Y";341;-0.017856067384956
"151";3;"WALKING";"Time";"Body";"Accelerometer";"NA";"NA";"Mean";"Z";341;-0.106492632429097
"152";3;"WALKING";"Time";"Body";"Accelerometer";"NA";"NA";"SD";"X";341;-0.623413602046921
"153";3;"WALKING";"Time";"Body";"Accelerometer";"NA";"NA";"SD";"Y";341;-0.480015920697654
"154";3;"WALKING";"Time";"Body";"Accelerometer";"NA";"NA";"SD";"Z";341;-0.653625579293255
"155";3;"WALKING";"Time";"Body";"Accelerometer";"NA";"Magnitude";"Mean";"NA";341;-0.563140802770059
"156";3;"WALKING";"Time";"Body";"Accelerometer";"NA";"Magnitude";"SD";"NA";341;-0.591224780306452
"157";3;"WALKING";"Time";"Body";"Accelerometer";"Jerk";"NA";"Mean";"X";341;0.0701731261988856
"158";3;"WALKING";"Time";"Body";"Accelerometer";"Jerk";"NA";"Mean";"Y";341;0.0144664329060411
"159";3;"WALKING";"Time";"Body";"Accelerometer";"Jerk";"NA";"Mean";"Z";341;-0.000526818872875366
"160";3;"WALKING";"Time";"Body";"Accelerometer";"Jerk";"NA";"SD";"X";341;-0.635484688041056
"161";3;"WALKING";"Time";"Body";"Accelerometer";"Jerk";"NA";"SD";"Y";341;-0.55721186773783
"162";3;"WALKING";"Time";"Body";"Accelerometer";"Jerk";"NA";"SD";"Z";341;-0.796066240234604
"163";3;"WALKING";"Time";"Body";"Accelerometer";"Jerk";"Magnitude";"Mean";"NA";341;-0.650182434328446
"164";3;"WALKING";"Time";"Body";"Accelerometer";"Jerk";"Magnitude";"SD";"NA";341;-0.607658214170381
"165";3;"WALKING";"Time";"Gravity";"Accelerometer";"NA";"NA";"Mean";"X";341;0.707814353343108
"166";3;"WALKING";"Time";"Gravity";"Accelerometer";"NA";"NA";"Mean";"Y";341;-0.0260590480328739
"167";3;"WALKING";"Time";"Gravity";"Accelerometer";"NA";"NA";"Mean";"Z";341;0.0480937904190616
"168";3;"WALKING";"Time";"Gravity";"Accelerometer";"NA";"NA";"SD";"X";341;-0.966457565630499
"169";3;"WALKING";"Time";"Gravity";"Accelerometer";"NA";"NA";"SD";"Y";341;-0.9445645371261
"170";3;"WALKING";"Time";"Gravity";"Accelerometer";"NA";"NA";"SD";"Z";341;-0.926966278211144
"171";3;"WALKING";"Time";"Gravity";"Accelerometer";"NA";"Magnitude";"Mean";"NA";341;-0.563140802770059
"172";3;"WALKING";"Time";"Gravity";"Accelerometer";"NA";"Magnitude";"SD";"NA";341;-0.591224780306452
"173";3;"WALKING";"Freq";"NA";"Gyroscope";"NA";"NA";"Mean";"X";341;-0.642097719778592
"174";3;"WALKING";"Freq";"NA";"Gyroscope";"NA";"NA";"Mean";"Y";341;-0.775144985073314
"175";3;"WALKING";"Freq";"NA";"Gyroscope";"NA";"NA";"Mean";"Z";341;-0.670734708996481
"176";3;"WALKING";"Freq";"NA";"Gyroscope";"NA";"NA";"SD";"X";341;-0.719276622702346
"177";3;"WALKING";"Freq";"NA";"Gyroscope";"NA";"NA";"SD";"Y";341;-0.758505287214076
"178";3;"WALKING";"Freq";"NA";"Gyroscope";"NA";"NA";"SD";"Z";341;-0.751008875659824
"179";3;"WALKING";"Freq";"NA";"Gyroscope";"NA";"Magnitude";"Mean";"NA";341;-0.716822144279179
"180";3;"WALKING";"Freq";"NA";"Gyroscope";"NA";"Magnitude";"SD";"NA";341;-0.703839403007038
"181";3;"WALKING";"Freq";"NA";"Gyroscope";"Jerk";"Magnitude";"Mean";"NA";341;-0.810085498651026
"182";3;"WALKING";"Freq";"NA";"Gyroscope";"Jerk";"Magnitude";"SD";"NA";341;-0.810032718739003
"183";3;"WALKING";"Freq";"Body";"Accelerometer";"NA";"NA";"Mean";"X";341;-0.625733289873607
"184";3;"WALKING";"Freq";"Body";"Accelerometer";"NA";"NA";"Mean";"Y";341;-0.501779938505279
"185";3;"WALKING";"Freq";"Body";"Accelerometer";"NA";"NA";"Mean";"Z";341;-0.699656828592375
"186";3;"WALKING";"Freq";"Body";"Accelerometer";"NA";"NA";"SD";"X";341;-0.623805015199413
"187";3;"WALKING";"Freq";"Body";"Accelerometer";"NA";"NA";"SD";"Y";341;-0.502753639795894
"188";3;"WALKING";"Freq";"Body";"Accelerometer";"NA";"NA";"SD";"Z";341;-0.657443765803519
"189";3;"WALKING";"Freq";"Body";"Accelerometer";"NA";"Magnitude";"Mean";"NA";341;-0.579076453758064
"190";3;"WALKING";"Freq";"Body";"Accelerometer";"NA";"Magnitude";"SD";"NA";341;-0.663079838985044
"191";3;"WALKING";"Freq";"Body";"Accelerometer";"Jerk";"NA";"Mean";"X";341;-0.645893496630499
"192";3;"WALKING";"Freq";"Body";"Accelerometer";"Jerk";"NA";"Mean";"Y";341;-0.582949919157742
"193";3;"WALKING";"Freq";"Body";"Accelerometer";"Jerk";"NA";"Mean";"Z";341;-0.780101644193548
"194";3;"WALKING";"Freq";"Body";"Accelerometer";"Jerk";"NA";"SD";"X";341;-0.657844055881525
"195";3;"WALKING";"Freq";"Body";"Accelerometer";"Jerk";"NA";"SD";"Y";341;-0.559851186088408
"196";3;"WALKING";"Freq";"Body";"Accelerometer";"Jerk";"NA";"SD";"Z";341;-0.81080601659824
"197";3;"WALKING";"Freq";"Body";"Accelerometer";"Jerk";"Magnitude";"Mean";"NA";341;-0.604752108072727
"198";3;"WALKING";"Freq";"Body";"Accelerometer";"Jerk";"Magnitude";"SD";"NA";341;-0.615643694857361
"199";4;"STANDING";"Time";"NA";"Gyroscope";"NA";"NA";"Mean";"X";317;-0.0289417906907571
"200";4;"STANDING";"Time";"NA";"Gyroscope";"NA";"NA";"Mean";"Y";317;-0.0787229907785489
"201";4;"STANDING";"Time";"NA";"Gyroscope";"NA";"NA";"Mean";"Z";317;0.0957174866009464
"202";4;"STANDING";"Time";"NA";"Gyroscope";"NA";"NA";"SD";"X";317;-0.701397703369085
"203";4;"STANDING";"Time";"NA";"Gyroscope";"NA";"NA";"SD";"Y";317;-0.79823574873817
"204";4;"STANDING";"Time";"NA";"Gyroscope";"NA";"NA";"SD";"Z";317;-0.726374197066246
"205";4;"STANDING";"Time";"NA";"Gyroscope";"NA";"Magnitude";"Mean";"NA";317;-0.656291093847319
"206";4;"STANDING";"Time";"NA";"Gyroscope";"NA";"Magnitude";"SD";"NA";317;-0.706738493542587
"207";4;"STANDING";"Time";"NA";"Gyroscope";"Jerk";"NA";"Mean";"X";317;-0.107859315713249
"208";4;"STANDING";"Time";"NA";"Gyroscope";"Jerk";"NA";"Mean";"Y";317;-0.0400427574662461
"209";4;"STANDING";"Time";"NA";"Gyroscope";"Jerk";"NA";"Mean";"Z";317;-0.0578089304000631
"210";4;"STANDING";"Time";"NA";"Gyroscope";"Jerk";"NA";"SD";"X";317;-0.723788617823344
"211";4;"STANDING";"Time";"NA";"Gyroscope";"Jerk";"NA";"SD";"Y";317;-0.902502592618297
"212";4;"STANDING";"Time";"NA";"Gyroscope";"Jerk";"NA";"SD";"Z";317;-0.748369141315457
"213";4;"STANDING";"Time";"NA";"Gyroscope";"Jerk";"Magnitude";"Mean";"NA";317;-0.819191368044164
"214";4;"STANDING";"Time";"NA";"Gyroscope";"Jerk";"Magnitude";"SD";"NA";317;-0.844187064164038
"215";4;"STANDING";"Time";"Body";"Accelerometer";"NA";"NA";"Mean";"X";317;0.274183111498423
"216";4;"STANDING";"Time";"Body";"Accelerometer";"NA";"NA";"Mean";"Y";317;-0.0148081545344921
"217";4;"STANDING";"Time";"Body";"Accelerometer";"NA";"NA";"Mean";"Z";317;-0.107521430810726
"218";4;"STANDING";"Time";"Body";"Accelerometer";"NA";"NA";"SD";"X";317;-0.605211727785489
"219";4;"STANDING";"Time";"Body";"Accelerometer";"NA";"NA";"SD";"Y";317;-0.509929384011325
"220";4;"STANDING";"Time";"Body";"Accelerometer";"NA";"NA";"SD";"Z";317;-0.709492735962145
"221";4;"STANDING";"Time";"Body";"Accelerometer";"NA";"Magnitude";"Mean";"NA";317;-0.56158213510694
"222";4;"STANDING";"Time";"Body";"Accelerometer";"NA";"Magnitude";"SD";"NA";317;-0.606556049548896
"223";4;"STANDING";"Time";"Body";"Accelerometer";"Jerk";"NA";"Mean";"X";317;0.0788637845151419
"224";4;"STANDING";"Time";"Body";"Accelerometer";"Jerk";"NA";"Mean";"Y";317;0.00351340949514196
"225";4;"STANDING";"Time";"Body";"Accelerometer";"Jerk";"NA";"Mean";"Z";317;-0.00737375142832808
"226";4;"STANDING";"Time";"Body";"Accelerometer";"Jerk";"NA";"SD";"X";317;-0.631853083289621
"227";4;"STANDING";"Time";"Body";"Accelerometer";"Jerk";"NA";"SD";"Y";317;-0.584063204701893
"228";4;"STANDING";"Time";"Body";"Accelerometer";"Jerk";"NA";"SD";"Z";317;-0.843353231167192
"229";4;"STANDING";"Time";"Body";"Accelerometer";"Jerk";"Magnitude";"Mean";"NA";317;-0.656116311856877
"230";4;"STANDING";"Time";"Body";"Accelerometer";"Jerk";"Magnitude";"SD";"NA";317;-0.647249966810726
"231";4;"STANDING";"Time";"Gravity";"Accelerometer";"NA";"NA";"Mean";"X";317;0.706593043123028
"232";4;"STANDING";"Time";"Gravity";"Accelerometer";"NA";"NA";"Mean";"Y";317;0.112591195496986
"233";4;"STANDING";"Time";"Gravity";"Accelerometer";"NA";"NA";"Mean";"Z";317;0.164130896618297
"234";4;"STANDING";"Time";"Gravity";"Accelerometer";"NA";"NA";"SD";"X";317;-0.962636979274448
"235";4;"STANDING";"Time";"Gravity";"Accelerometer";"NA";"NA";"SD";"Y";317;-0.941416800167192
"236";4;"STANDING";"Time";"Gravity";"Accelerometer";"NA";"NA";"SD";"Z";317;-0.941403426072555
"237";4;"STANDING";"Time";"Gravity";"Accelerometer";"NA";"Magnitude";"Mean";"NA";317;-0.56158213510694
"238";4;"STANDING";"Time";"Gravity";"Accelerometer";"NA";"Magnitude";"SD";"NA";317;-0.606556049548896
"239";4;"STANDING";"Freq";"NA";"Gyroscope";"NA";"NA";"Mean";"X";317;-0.641881977553943
"240";4;"STANDING";"Freq";"NA";"Gyroscope";"NA";"NA";"Mean";"Y";317;-0.831527531009464
"241";4;"STANDING";"Freq";"NA";"Gyroscope";"NA";"NA";"Mean";"Z";317;-0.689308946422713
"242";4;"STANDING";"Freq";"NA";"Gyroscope";"NA";"NA";"SD";"X";317;-0.721749187328076
"243";4;"STANDING";"Freq";"NA";"Gyroscope";"NA";"NA";"SD";"Y";317;-0.782885735867508
"244";4;"STANDING";"Freq";"NA";"Gyroscope";"NA";"NA";"SD";"Z";317;-0.7670895729653
"245";4;"STANDING";"Freq";"NA";"Gyroscope";"NA";"Magnitude";"Mean";"NA";317;-0.745650754608833
